type,depth,recall,precision,fpr,size,tps
w/o log weight,6.086956521739131,0.6530663044625115,0.9111616581964759,0.12459673500494346,320.69565217391306,9432.46776611694
w/o log weight and swap reduction,6.043478260869565,0.6569638617852838,0.8799212656344669,0.13592101960788613,323.7826086956522,6260.888134402622
"w/o log weight, swap reduction, and pricing",5.434782608695652,0.70354748325854,0.8614059847167866,0.14078314393255134,973.5217391304348,3779.152934941036
